"","response","Freq.R1","Types.R1","Freq.R123","Types.R123"
"285","oro",67,26,113,43
"286","parte",59,28,113,52
"287","regalo",70,32,113,47
"288","hijo",59,28,112,49
"289","verdura",84,18,112,26
"290","aprender",53,28,111,56
"291","autoridad",58,27,111,48
"292","cambio",44,19,111,65
"293","alimento",60,29,110,64
"294","asado",59,18,110,41
"295","atención",39,18,110,55
"296","baño",71,25,110,41
"297","barrio",67,19,110,27
"298","bien",66,25,110,59
"299","peso",73,22,110,45
"300","energía",38,23,109,60
"301","medida",68,28,109,46
"302","reloj",66,18,109,33
"303","respeto",33,24,109,77
"304","altura",48,27,108,50
"305","espera",41,20,108,51
"306","libros",77,23,108,46
"307","suave",40,24,108,55
"308","vidrio",47,16,108,27
"309","comienzo",68,20,107,32
"310","joven",58,25,107,48
"311","política",52,30,107,56
"312","torta",71,18,107,34
"313","lentes",66,19,106,38
"314","sabor",56,20,106,48
"315","celular",74,20,105,30
"316","clase",59,35,105,59
"317","compartir",19,11,105,74
"318","llanto",57,22,105,42
"319","único",56,19,105,42
"320","ejercicio",65,17,104,33
"321","gato",68,24,104,44
"322","oscuridad",43,17,104,51
"323","cerrado",71,22,103,39
"324","emoción",45,29,103,72
"325","hecho",57,19,103,41
"326","imagen",52,21,103,51
"327","mio",59,21,103,35
"328","padre",53,25,103,53
"329","prueba",72,14,103,24
"330","tren",76,15,103,29
"331","carta",71,25,102,36
"332","cerca",55,17,102,39
"333","compañero",49,22,102,46
"334","duro",56,25,102,57
"335","tener",66,13,102,34
"336","asco",54,31,101,51
"337","leer",54,22,101,50
"338","medico",56,19,101,36
"339","necesidad",31,25,101,77
"340","objeto",55,29,101,60
"341","querer",60,25,101,42
"342","mundo",47,27,100,58
"343","pan",56,16,100,30
"344","buena",60,36,99,54
"345","café",54,12,99,37
"346","carrera",39,30,99,59
"347","distancia",35,14,99,50
"348","nieve",45,16,99,34
"349","pregunta",69,16,99,22
"350","silencio",37,18,99,55
"351","solo",50,24,99,48
"352","velocidad",44,25,99,52
"353","presente",53,20,97,33
"354","punto",64,18,97,36
"355","solución",47,14,97,34
"356","agradable",33,25,96,72
"357","alegre",52,24,96,52
"358","larga",65,32,96,45
"359","muchos",56,34,96,57
"360","sano",46,26,96,48
"361","confianza",44,24,95,47
"362","encuentro",57,23,95,44
"363","error",59,20,95,34
"364","escribir",47,21,95,35
"365","idioma",69,12,95,19
"366","piso",66,19,95,38
"367","robo",62,19,95,32
"368","animales",53,27,94,56
"369","cuerda",62,23,94,36
"370","duda",51,17,94,38
"371","edad",49,25,94,43
"372","bicho",72,31,93,39
"373","cola",53,15,93,32
"374","hora",57,17,93,33
"375","letras",52,21,93,42
"376","pesado",47,27,93,53
"377","abogado",50,19,92,31
"378","derecho",48,32,92,53
"379","divertido",54,32,92,59
"380","examen",46,18,92,41
"381","facultad",57,29,92,46
"382","hambre",55,27,92,47
"383","memoria",60,12,92,32
"384","números",50,26,92,44
"385","angustia",33,25,91,49
"386","lana",54,11,91,18
"387","niña",52,17,91,30
"388","otro",35,19,91,51
"389","útil",32,24,91,66
"390","electricidad",41,11,90,32
"391","inteligente",45,22,90,44
"392","mañana",52,23,90,34
"393","medio",53,13,90,37
"394","sociedad",42,30,90,65
"395","canción",39,28,89,62
"396","estudiar",44,33,89,60
"397","flor",50,19,89,40
"398","juicio",50,17,89,34
"399","respuesta",61,15,89,33
"400","cuarto",46,13,88,33
"401","deber",60,20,88,30
"402","pantalón",48,16,88,28
"403","rica",50,25,88,37
"404","salir",55,28,88,52
"405","ciencia",51,27,87,46
"406","cuchillo",58,17,87,24
"407","después",71,10,87,17
"408","gusto",40,15,87,44
"409","hoy",55,16,87,31
"410","lengua",46,18,87,37
"411","hoja",47,21,86,43
"412","mala",57,27,86,42
"413","planeta",63,10,86,20
"414","adelante",41,11,85,34
"415","afuera",64,16,85,28
"416","cerveza",63,19,85,25
"417","estrellas",47,17,85,29
"418","limpio",44,24,85,41
"419","mas",53,22,85,45
"420","negra",47,26,85,50
"421","paseo",27,20,85,54
"422","vaso",42,22,85,31
"423","capacidad",47,23,84,42
"424","común",50,23,84,40
"425","deseo",39,20,84,46
"426","infancia",35,28,84,57
"427","ladrón",55,22,84,31
"428","profundo",51,14,84,30
"429","tal vez",70,10,84,15
"430","autos",52,15,83,32
"431","caja",50,25,83,44
"432","cortar",61,13,83,16
"433","dar",46,20,83,38
"434","hijos",28,18,83,51
"435","mes",56,8,83,21
"436","ruta",50,16,83,36
"437","siempre",40,33,83,64
"438","vista",36,19,83,43
"439","caro",47,15,82,36
"440","comodidad",32,14,82,50
"441","gobierno",44,17,82,31
"442","obligación",38,16,82,34
"443","antiguo",27,14,81,45
"444","atrás",51,17,81,28
"445","calma",35,12,81,36
"446","edificio",40,17,81,33
"447","ganar",39,17,81,39
"448","moda",32,16,81,41
"449","semana",45,12,81,20
"450","aroma",42,16,80,34
"451","conocer",33,13,80,45
"452","droga",56,10,80,21
"453","gordo",40,18,80,43
"454","sabiduría",36,20,80,48
"455","visión",48,25,80,45
"456","adentro",57,11,79,19
"457","cuero",32,12,79,24
"458","flecha",53,10,79,21
"459","matemáticas",43,24,79,45
"460","negocio",37,19,79,39
"461","sed",29,12,79,29
"462","guardar",44,16,78,29
"463","hojas",37,19,78,46
"464","matemática",46,22,78,42
"465","piel",32,24,78,45
"466","traje",42,19,78,38
"467","vehículo",60,27,78,30
"468","ventana",32,11,78,36
"469","accidente",32,10,77,35
"470","alta",60,23,77,34
"471","dedos",45,9,77,20
"472","humo",35,13,77,29
"473","lento",43,24,77,41
"474","lleno",51,18,77,29
"475","lucha",37,17,77,40
"476","oír",65,14,77,17
"477","pie",49,14,77,23
"478","ruedas",44,14,77,19
"479","tela",34,14,77,37
"480","tomar",54,13,77,26
"481","cura",43,15,76,24
"482","esperanza",29,19,76,55
"483","foto",58,14,76,20
"484","investigación",33,22,76,42
"485","maldad",44,24,76,43
"486","pensamiento",33,15,76,37
"487","que",36,24,76,59
"488","terminado",49,12,76,18
"489","apoyo",27,15,75,37
"490","empresa",45,18,75,29
"491","mamífero",39,21,75,33
"492","martillo",51,14,75,23
"493","objetivo",28,18,75,46
"494","tecnología",36,19,75,33
"495","cansancio",36,31,74,52
"496","conjunto",38,21,74,38
"497","construcción",45,21,74,35
"498","cosas",28,26,74,63
"499","enfermo",47,17,74,26
"500","internet",33,17,74,32
"501","manos",38,18,74,43
"502","rueda",46,20,74,30
"503","aprendizaje",21,16,73,51
"504","fresco",21,14,73,45
"505","palo",45,18,73,31
"506","acuerdo",47,12,72,21
"507","hermoso",37,22,72,45
"508","mayor",44,15,72,28
"509","oficina",37,17,72,33
"510","pena",33,17,72,39
"511","primero",42,28,72,41
"512","razón",39,11,72,27
"513","venta",50,14,72,22
"514","bosque",29,18,71,36
"515","distinto",43,14,71,27
"516","matrimonio",47,17,71,26
"517","posibilidad",30,23,71,43
"518","positivo",33,20,71,41
"519","verbo",39,33,71,50
"520","vestido",33,20,71,34
"521","hermano",41,18,70,34
"522","par",37,10,70,26
"523","sentido",29,16,70,38
"524","señor",48,17,70,27
"525","aguja",44,11,69,18
"526","bebé",45,19,69,33
"527","doctor",42,14,69,30
"528","natural",24,18,69,53
"529","observar",32,15,69,31
"530","pozo",45,14,69,18
"531","prisión",42,11,69,21
"532","secreto",28,14,69,31
"533","abrazo",27,21,68,47
"534","compras",40,11,68,26
"535","cuadrado",37,19,68,38
"536","derecha",48,12,68,17
"537","enojo",38,13,68,30
"538","magia",45,15,68,24
"539","montaña",25,19,68,38
"540","necesario",24,22,68,59
"541","océano",43,18,68,28
"542","odio",29,15,68,41
"543","opción",40,8,68,24
"544","paciencia",24,10,68,35
"545","pasión",30,25,68,46
"546","político",48,17,68,23
"547","propio",39,16,68,32
"548","real",38,20,68,34
"549","alas",28,12,67,24
"550","chiste",41,8,67,11
"551","corte",26,17,67,42
"552","crimen",42,13,67,24
"553","desierto",26,7,67,20
"554","entretenimiento",29,20,67,34
"555","estar",31,13,67,33
"556","éxito",37,27,67,42
"557","liceo",34,23,67,44
"558","preso",41,16,67,26
"559","rio",36,26,67,38
"560","social",32,22,67,45
"561","año",34,14,66,27
"562","compañía",20,19,66,55
"563","completo",47,12,66,22
"564","cuento",34,17,66,35
"565","dirección",31,18,66,40
"566","equipo",26,11,66,32
"567","fea",40,23,66,37
"568","habitación",32,11,66,31
"569","manzana",36,12,66,21
"570","paisaje",19,14,66,39
"571","pies",35,23,66,36
"572","pueblo",24,19,66,40
"573","roto",25,18,66,38
"574","sopa",41,8,66,13
"575","todos",35,21,66,43
"576","desafío",21,14,65,41
"577","expresión",34,19,65,44
"578","lectura",29,16,65,42
"579","obra",30,14,65,34
"580","ojo",49,28,65,37
"581","rapidez",36,18,65,36
"582","separación",36,7,65,18
"583","tenedor",47,8,65,12
"584","abuela",34,18,64,36
"585","asesino",33,12,64,21
"586","cartas",30,20,64,33
"587","chance",50,8,64,17
"588","habilidad",42,12,64,22
"589","idea",32,21,64,45
"590","jardín",28,15,64,33
"591","médico",40,17,64,27
"592","mejor",28,19,64,46
"593","misterio",25,18,64,46
"594","perdón",46,8,64,18
"595","sentir",24,17,64,43
"596","vegetal",45,21,64,30
"597","inicio",37,15,63,26
"598","oído",47,16,63,21
"599","piedra",48,14,63,25
"600","raro",28,16,63,38
"601","recuerdos",25,13,63,37
"602","simple",33,13,63,31
"603","verdadero",46,9,63,19
"604","vestimenta",35,19,63,37
"605","amar",41,13,62,25
"606","bajo",34,14,62,30
"607","chocolate",29,19,62,37
"608","competencia",26,13,62,34
"609","días",31,12,62,21
"610","gallina",42,10,62,15
"611","golpe",33,15,62,29
"612","interior",27,14,62,37
"613","limpieza",25,12,62,24
"614","moto",27,8,62,28
"615","sorpresa",30,13,62,31
"616","sur",35,6,62,13
"617","temperatura",36,8,62,18
"618","tres",30,12,62,27
"619","control",29,22,61,44
"620","ensalada",27,10,61,19
"621","escuchar",25,15,61,31
"622","extraño",34,7,61,30
"623","moneda",33,17,61,27
"624","seguro",25,22,61,48
"625","vivir",23,17,61,49
"626","agujero",36,10,60,23
"627","arboles",39,14,60,29
"628","correo",36,8,60,17
"629","descansar",27,10,60,26
"630","destino",20,14,60,37
"631","entrada",33,9,60,18
"632","fe",33,12,60,19
"633","femenino",40,12,60,20
"634","mugre",29,10,60,24
"635","niñez",24,16,60,46
"636","pedazo",49,8,60,13
"637","pronto",36,6,60,18
"638","recipiente",40,21,60,29
"639","reina",38,9,60,12
"640","bienestar",22,13,59,41
"641","caca",43,17,59,23
"642","carga",20,15,59,26
"643","charla",30,12,59,31
"644","chica",36,15,59,25
"645","negativo",35,16,59,32
"646","pared",24,15,59,30
"647","plantas",26,12,59,25
"648","plaza",21,9,59,34
"649","relación",17,14,59,46
"650","ternura",23,15,59,35
"651","vejez",34,12,59,23
"652","voz",31,11,59,25
"653","acá",38,13,58,22
"654","causa",43,10,58,15
"655","el",22,15,58,37
"656","fumar",47,7,58,12
"657","llave",23,9,58,20
"658","mama",36,21,58,39
"659","mensaje",33,19,58,34
"660","nariz",31,11,58,21
"661","pedido",32,11,58,19
"662","personal",26,20,58,42
"663","precio",35,12,58,21
"664","primavera",22,9,58,24
"665","superior",27,20,58,36
"666","viajar",21,17,58,42
"667","abajo",34,7,57,20
"668","banco",26,13,57,29
"669","carpa",35,6,57,10
"670","comercio",33,14,57,26
"671","mirada",31,13,57,33
"672","padres",28,18,57,34
"673","parque",29,19,57,34
"674","premio",31,12,57,21
"675","si",41,33,57,46
"676","supermercado",35,14,57,23
"677","tarde",24,18,57,40
"678","túnica",22,8,57,25
"679","zapato",38,9,57,18
"680","auxilio",40,7,56,13
"681","circulo",33,15,56,27
"682","limite",28,14,56,28
"683","llorar",38,11,56,22
"684","opuesto",40,7,56,15
"685","sentimientos",20,19,56,46
"686","afecto",21,13,55,34
"687","bello",25,13,55,31
"688","cuernos",29,10,55,15
"689","inseguridad",14,11,55,36
"690","izquierda",41,8,55,12
"691","jugar",24,17,55,38
"692","letra",37,16,55,23
"693","linea",42,17,55,26
"694","muerto",35,13,55,23
"695","perfume",28,8,55,24
"696","pesca",30,9,55,15
"697","pico",20,13,55,25
"698","quiero",32,19,55,35
"699","subir",36,6,55,14
"700","tranquilo",23,16,55,37
"701","transparente",27,11,55,21
"702","ubicación",25,15,55,29
"703","antes",27,8,54,26
"704","capaz",26,14,54,25
"705","castigo",30,12,54,26
"706","compra",37,15,54,22
"707","espejo",36,10,54,24
"708","mamá",32,20,54,37
"709","propiedad",20,12,54,26
"710","recuerdo",22,10,54,32
"711","saco",37,15,54,22
"712","situación",23,17,54,36
"713","tarea",31,19,54,32
"714","tenis",39,7,54,14
"715","aparato",37,20,53,28
"716","ausencia",32,9,53,22
"717","camión",20,12,53,34
"718","corto",28,16,53,34
"719","diablo",38,6,53,10
"720","disfrute",14,13,53,42
"721","hierro",30,13,53,29
"722","huevo",37,10,53,15
"723","logro",15,10,53,32
"724","más",32,20,53,33
"725","novio",28,17,53,35
"726","pequeña",21,9,53,20
"727","perdida",17,12,53,34
"728","riqueza",30,12,53,25
"729","signo",37,14,53,21
"730","abierto",33,16,52,30
"731","actitud",26,17,52,32
"732","basura",19,9,52,22
"733","cabello",37,14,52,18
"734","especial",20,12,52,30
"735","familiar",36,18,52,30
"736","hilo",29,13,52,22
"737","líder",30,18,52,26
"738","matar",36,16,52,24
"739","noticia",29,14,52,23
"740","otoño",25,9,52,13
"741","para",34,9,52,23
"742","privado",24,9,52,20
"743","queso",18,15,52,26
"744","relax",12,11,52,37
"745","sensación",15,14,52,40
"746","vieja",36,17,52,26
"747","a",27,19,51,39
"748","abrir",20,10,51,18
"749","alma",25,20,51,39
"750","andar",23,12,51,31
"751","azar",30,12,51,19
"752","bella",33,15,51,26
"753","corta",36,15,51,21
"754","delito",23,16,51,32
"755","desagradable",23,13,51,26
"756","Dios",25,17,51,35
"757","disfrutar",15,10,51,39
"758","estrella",25,17,51,27
"759","falso",33,12,51,23
"760","interesante",18,16,51,38
"761","leña",25,9,51,17
"762","llegar",26,14,51,30
"763","nunca",30,14,51,27
"764","pene",29,20,51,31
"765","principio",32,9,51,13
"766","punta",22,13,51,25
"767","seguir",14,12,51,36
"768","segundo",38,5,51,12
"769","selva",18,11,51,24
"770","suma",21,9,51,25
"771","ajedrez",27,10,50,17
"772","ansiedad",20,12,50,29
"773","bicicleta",22,17,50,31
"774","brillo",9,5,50,35
"775","cigarro",39,7,50,11
"776","desconocido",20,15,50,36
"777","donde",22,10,50,27
"778","elección",20,12,50,27
"779","engaño",18,5,50,21
"780","exterior",32,12,50,14
"781","filo",26,8,50,18
"782","física",23,16,50,31
"783","gorro",37,10,50,18
"784","leyes",25,14,50,27
"785","loco",24,19,50,43
"786","milico",35,14,50,21
"787","parecido",38,8,50,14
"788","radio",21,16,50,30
"789","saltar",16,7,50,30
"790","cuadro",21,11,49,23
"791","dejar",35,8,49,14
"792","encierro",21,11,49,21
"793","huevos",19,8,49,20
"794","incertidumbre",14,8,49,32
"795","interés",12,11,49,40
"796","juegos",28,15,49,30
"797","medicina",21,14,49,28
"798","termino",38,10,49,17
"799","bolsa",27,15,48,23
"800","cómodo",18,8,48,25
"801","conversación",31,5,48,14
"802","corriente",31,12,48,20
"803","deuda",25,9,48,15
"804","esperar",14,8,48,32
"805","guía",21,11,48,29
"806","hermosa",30,20,48,31
"807","la",15,12,48,44
"808","llegada",23,11,48,29
"809","masculino",24,10,48,21
"810","nacional",30,17,48,24
"811","sueldo",28,7,48,13
"812","terminar",24,10,48,26
"813","triunfo",27,10,48,21
"814","uniforme",22,15,48,31
"815","veloz",31,10,48,24
"816","zapatos",13,9,48,30
"817","alerta",21,12,47,27
"818","amplio",27,12,47,23
"819","anillo",25,15,47,23
"820","avance",19,9,47,25
"821","batería",27,7,47,16
"822","decisión",10,8,47,37
"823","festejo",16,11,47,27
"824","frutas",30,11,47,19
"825","hueco",31,11,47,23
"826","lado",35,9,47,15
"827","lenguaje",24,10,47,19
"828","molesto",18,9,47,23
"829","mueble",31,10,47,16
"830","oración",30,8,47,13
"831","redonda",35,17,47,21
"832","tamaño",23,13,47,25
"833","tonto",31,8,47,18
"834","vuelo",22,15,47,26
"835","",28,28,46,46
"836","beber",27,10,46,19
"837","botella",21,13,46,22
"838","culo",30,8,46,21
"839","enorme",28,6,46,13
"840","experiencia",15,12,46,32
"841","guitarra",25,15,46,23
"842","identidad",22,10,46,18
"843","límite",25,14,46,29
"844","mono",32,11,46,18
"845","patas",16,7,46,17
"846","pato",31,19,46,25
"847","sal",26,4,46,19
"848","satisfacción",16,14,46,36
"849","señora",25,9,46,16
"850","universidad",25,18,46,30
"851","verduras",31,13,46,16
"852","alguien",24,14,45,29
"853","bala",25,8,45,14
"854","claro",24,18,45,32
"855","colegio",30,17,45,26
"856","copa",19,10,45,24
"857","correcto",17,12,45,27
"858","cuello",23,5,45,17
"859","cumplir",21,12,45,26
"860","dedo",25,10,45,16
"861","entrar",23,7,45,22
"862","infinito",23,14,45,28
"863","mapa",23,15,45,27
"864","menor",31,6,45,14
"865","organización",20,10,45,28
"866","rosado",27,15,45,27
"867","rutina",14,13,45,33
"868","similar",27,4,45,10
"869","susto",20,11,45,21
"870","techo",14,7,45,26
"871","trabajador",30,9,45,14
"872","traición",26,9,45,19
"873","volver",20,7,45,14
"874","zona",19,8,45,21
"875","actor",26,10,44,17
"876","allá",34,7,44,14
"877","bandera",26,12,44,22
"878","brillante",30,23,44,31
"879","calzado",34,9,44,10
"880","camisa",25,15,44,25
"881","centro",23,15,44,28
"882","coser",32,6,44,8
"883","cual",29,4,44,6
"884","departamento",33,10,44,13
"885","estación",27,12,44,16
"886","figura",22,19,44,34
"887","helado",13,10,44,22
"888","jugo",18,9,44,24
"889","laboratorio",19,9,44,22
"890","luces",18,11,44,29
"891","nafta",38,5,44,8
"892","ratón",31,10,44,19
"893","reír",24,16,44,26
"894","ropero",24,6,44,12
"895","vela",21,9,44,16
"896","adorno",16,11,43,24
"897","arco",31,9,43,12
"898","campera",26,6,43,15
"899","chau",31,5,43,8
"900","cocinar",20,11,43,25
"901","conexión",15,13,43,30
"902","culpable",27,9,43,14
"903","dibujo",19,12,43,28
"904","división",16,11,43,28
"905","elegante",17,14,43,29
"906","emergencia",24,8,43,18
"907","fiel",18,12,43,25
"908","ganador",18,11,43,24
"909","igualdad",26,15,43,23
"910","Jesús",25,7,43,14
"911","navidad",21,11,43,20
"912","oeste",23,3,43,10
"913","órgano",29,11,43,16
"914","picante",30,4,43,6
"915","publicidad",24,7,43,17
"916","red",21,14,43,21
"917","riesgo",20,14,43,30
"918","sobre",20,12,43,28
"919","soldado",24,12,43,21
"920","sudor",9,7,43,23
"921","tema",27,6,43,14
"922","tomate",24,8,43,13
"923","amanecer",27,9,42,16
"924","amarilla",23,16,42,21
"925","ayer",27,10,42,17
"926","baja",26,5,42,16
"927","brazo",29,13,42,18
"928","cuchara",24,7,42,14
"929","dura",24,11,42,25
"930","ella",22,11,42,28
"931","estrés",20,13,42,27
"932","hondo",25,5,42,9
"933","juntos",20,13,42,26
"934","legal",22,12,42,24
"935","maestro",21,13,42,23
"936","malestar",15,12,42,30
"937","muchas",31,17,42,25
"938","noticias",18,9,42,19
"939","novia",28,14,42,22
"940","plumas",9,7,42,15
"941","pollo",22,8,42,13
"942","postre",13,8,42,25
