"","response","Freq","nWords","isASCII"
"151","depresion",20,1,1
"152","estacion",20,1,1
"153","fragil",20,1,1
"154","geografia",20,1,1
"155","ilusion",20,1,1
"156","inglaterra",20,1,1
"157","melodia",20,1,1
"158","movil",20,1,1
"159","posicion",20,1,1
"160","quimica",20,1,1
"161","raton",20,1,1
"162","sabado",20,1,1
"163","zoologico",20,1,1
"164","ahi",19,1,1
"165","area",19,1,1
"166","bondi",19,1,1
"167","fin de semana",19,3,1
"168","geometria",19,1,1
"169","humedo",19,1,1
"170","salon",19,1,1
"171","antiguedad",18,1,1
"172","calido",18,1,1
"173","conexion",18,1,1
"174","electronico",18,1,1
"175","espiritu",18,1,1
"176","inutil",18,1,1
"177","mexico",18,1,1
"178","principe",18,1,1
"179","rapida",18,1,1
"180","arcoiris",17,1,1
"181","capitan",17,1,1
"182","nacion",17,1,1
"183","precaucion",17,1,1
"184","preocupacion",17,1,1
"185","profesion",17,1,1
"186","pure",17,1,1
"187","ser vivo",17,2,1
"188","verguenza",17,1,1
"189","adios",16,1,1
"190","alla",16,1,1
"191","angel",16,1,1
"192","asia",16,1,1
"193","comprension",16,1,1
"194","concentracion",16,1,1
"195","google",16,1,1
"196","identico",16,1,1
"197","italia",16,1,1
"198","leon",16,1,1
"199","monarquia",16,1,1
"200","no se",16,2,1
"201","punteria",16,1,1
"202","termometro",16,1,1
"203","volcan",16,1,1
"204","asi",15,1,1
"205","baston",15,1,1
"206","biologia",15,1,1
"207","boton",15,1,1
"208","cientifico",15,1,1
"209","comoda",15,1,1
"210","creacion",15,1,1
"211","de pie",15,2,1
"212","distraccion",15,1,1
"213","divercion",15,1,1
"214","egoismo",15,1,1
"215","identificacion",15,1,1
"216","jamon",15,1,1
"217","medicos",15,1,1
"218","peliculas",15,1,1
"219","proximo",15,1,1
"220","vacia",15,1,1
"221","adiccion",14,1,1
"222","antartida",14,1,1
"223","beisbol",14,1,1
"224","caracteristica",14,1,1
"225","centimetro",14,1,1
"226","clasico",14,1,1
"227","dedicacion",14,1,1
"228","destruccion",14,1,1
"229","empatía",14,1,0
"230","espectaculo",14,1,1
"231","estupido",14,1,1
"232","europa",14,1,1
"233","football",14,1,1
"234","increible",14,1,1
"235","jerarquia",14,1,1
"236","lejania",14,1,1
"237","limon",14,1,1
"238","mecanico",14,1,1
"239","ok",14,1,1
"240","periodico",14,1,1
"241","region",14,1,1
"242","tennis",14,1,1
"243","tristesa",14,1,1
"244","almacen",13,1,1
"245","ARBOL",13,1,1
"246","asociacion",13,1,1
"247","automovil",13,1,1
"248","blanco y negro",13,3,1
"249","decada",13,1,1
"250","electrica",13,1,1
"251","electrico",13,1,1
"252","evolucion",13,1,1
"253","faltante",13,1,1
"254","helicoptero",13,1,1
"255","japon",13,1,1
"256","jesús",13,1,0
"257","maria",13,1,1
"258","mia",13,1,1
"259","musculos",13,1,1
"260","orientacion",13,1,1
"261","papa noel",13,2,1
"262","parking",13,1,1
"263","pc",13,1,1
"264","poesia",13,1,1
"265","presion",13,1,1
"266","punto cardinal",13,2,1
"267","representacion",13,1,1
"268","respiracion",13,1,1
"269","utensillo",13,1,1
"270","water",13,1,1
"271","anatomia",12,1,1
"272","buenos aires",12,2,1
"273","caida",12,1,1
"274","caracter",12,1,1
"275","cocaina",12,1,1
"276","contaminacion",12,1,1
"277","convivencia",12,1,1
"278","corrupcion",12,1,1
"279","cuestion",12,1,1
"280","discriminacion",12,1,1
"281","einstein",12,1,1
"282","formacion",12,1,1
"283","habil",12,1,1
"284","hipotesis",12,1,1
"285","marmol",12,1,1
"286","mas tarde",12,2,1
"287","mecanica",12,1,1
"288","mujica",12,1,1
"289","nose",12,1,1
"290","panico",12,1,1
"291","papas fritas",12,2,1
"292","presentacion",12,1,1
"293","psicologo",12,1,1
"294","rectangulo",12,1,1
"295","talvez",12,1,1
"296","tiempo libre",12,2,1
"297","vertigo",12,1,1
"298","a veces",11,2,1
"299","afirmacion",11,1,1
"300","bambi",11,1,1
"301","batman",11,1,1
"302","caparazon",11,1,1
"303","codigo",11,1,1
"304","craneo",11,1,1
"305","cuestionamiento",11,1,1
"306","desesperacion",11,1,1
"307","discusion",11,1,1
"308","dracula",11,1,1
"309","economico",11,1,1
"310","etica",11,1,1
"311","ficcion",11,1,1
"312","filosofia",11,1,1
"313","FUTBOL",11,1,1
"314","globalizacion",11,1,1
"315","motivacion",11,1,1
"316","opinion",11,1,1
"317","poker",11,1,1
"318","psicologia",11,1,1
"319","reaccion",11,1,1
"320","recreacion",11,1,1
"321","republica",11,1,1
"322","simpson",11,1,1
"323","superheroe",11,1,1
"324","telefonica",11,1,1
"325","almohadon",10,1,1
"326","apagon",10,1,1
"327","arco iris",10,2,1
"328","articulos",10,1,1
"329","buho",10,1,1
"330","centimetros",10,1,1
"331","cercania",10,1,1
"332","coca cola",10,2,1
"333","compania",10,1,1
"334","contencion",10,1,1
"335","DIA",10,1,1
"336","envio",10,1,1
"337","grecia",10,1,1
"338","imagenes",10,1,1
"339","incognita",10,1,1
"340","institucion",10,1,1
"341","mediodia",10,1,1
"342","metodo",10,1,1
"343","multiplicacion",10,1,1
"344","obstaculo",10,1,1
"345","quimico",10,1,1
"346","raiz",10,1,1
"347","represion",10,1,1
"348","seleccion",10,1,1
"349","semaforo",10,1,1
"350","tecnico",10,1,1
"351","valentia",10,1,1
"352","vias",10,1,1
"353","-",9,1,1
"354","al lado",9,2,1
"355","algodon",9,1,1
"356","ataud",9,1,1
"357","balon",9,1,1
"358","basico",9,1,1
"359","campeon",9,1,1
"360","caperucita",9,1,1
"361","catolico",9,1,1
"362","celebracion",9,1,1
"363","champion",9,1,1
"364","cinturon",9,1,1
"365","de agua",9,2,1
"366","decoracion",9,1,1
"367","descanzo",9,1,1
"368","dibujitos",9,1,1
"369","discucion",9,1,1
"370","duo",9,1,1
"371","exámen",9,1,0
"372","heroe",9,1,1
"373","horoscopo",9,1,1
"374","ingenieria",9,1,1
"375","inversion",9,1,1
"376","kilometros",9,1,1
"377","lacteo",9,1,1
"378","magico",9,1,1
"379","PAJARO",9,1,1
"380","papá noel",9,2,0
"381","percepcion",9,1,1
"382","planificacion",9,1,1
"383","poblacion",9,1,1
"384","policias",9,1,1
"385","politicos",9,1,1
"386","por qué",9,2,0
"387","posesion",9,1,1
"388","raices",9,1,1
"389","reflexion",9,1,1
"390","resolucion",9,1,1
"391","rigido",9,1,1
"392","satelite",9,1,1
"393","transpiracion",9,1,1
"394","admiracion",8,1,1
"395","aguila",8,1,1
"396","al blanco",8,2,1
"397","anfitrion",8,1,1
"398","basquet",8,1,1
"399","borges",8,1,1
"400","buso",8,1,1
"401","carnivoro",8,1,1
"402","celula",8,1,1
"403","ceramica",8,1,1
"404","citrico",8,1,1
"405","conclusion",8,1,1
"406","corner",8,1,1
"407","edad media",8,2,1
"408","epoca",8,1,1
"409","equivocacion",8,1,1
"410","espectativa",8,1,1
"411","explicacion",8,1,1
"412","fantastico",8,1,1
"413","fm",8,1,1
"414","francia",8,1,1
"415","historico",8,1,1
"416","innovacion",8,1,1
"417","jovenes",8,1,1
"418","locomocion",8,1,1
"419","mafalda",8,1,1
"420","magica",8,1,1
"421","me gusta",8,2,1
"422","medicion",8,1,1
"423","melancolia",8,1,1
"424","mesa de luz",8,3,1
"425","monton",8,1,1
"426","oidos",8,1,1
"427","organos",8,1,1
"428","PELICULA",8,1,1
"429","perfeccion",8,1,1
"430","platano",8,1,1
"431","prestamo",8,1,1
"432","RELIGION",8,1,1
"433","sin fin",8,2,1
"434","superman",8,1,1
"435","uno mismo",8,2,1
"436","utopia",8,1,1
"437","vocacion",8,1,1
"438","windows",8,1,1
"439","A",7,1,1
"440","acojedor",7,1,1
"441","Africa",7,1,1
"442","alimentacion",7,1,1
"443","américa",7,1,0
"444","basket",7,1,1
"445","basketball",7,1,1
"446","beatles",7,1,1
"447","carbon",7,1,1
"448","cesped",7,1,1
"449","charlatan",7,1,1
"450","colombia",7,1,1
"451","de leche",7,2,1
"452","de mierda",7,2,1
"453","de oro",7,2,1
"454","desinteres",7,1,1
"455","disney",7,1,1
"456","economica",7,1,1
"457","EEUU",7,1,1
"458","egoista",7,1,1
"459","electronica",7,1,1
"460","EMOCION",7,1,1
"461","erroneo",7,1,1
"462","etereo",7,1,1
"463","exit",7,1,1
"464","exposicion",7,1,1
"465","extincion",7,1,1
"466","freud",7,1,1
"467","funcion",7,1,1
"468","ganzo",7,1,1
"469","gas oil",7,2,1
"470","guardian",7,1,1
"471","harry potter",7,2,1
"472","iluminacion",7,1,1
"473","inyeccion",7,1,1
"474","jóven",7,1,0
"475","latigo",7,1,1
"476","liberacion",7,1,1
"477","limitacion",7,1,1
"478","logica",7,1,1
"479","mercaderia",7,1,1
"480","natacion",7,1,1
"481","negatividad",7,1,1
"482","ninos",7,1,1
"483","nutricion",7,1,1
"484","pizarron",7,1,1
"485","porciento",7,1,1
"486","portatil",7,1,1
"487","precision",7,1,1
"488","RAPIDO",7,1,1
"489","refran",7,1,1
"490","restaurant",7,1,1
"491","sarten",7,1,1
"492","satanas",7,1,1
"493","sofa",7,1,1
"494","sonreir",7,1,1
"495","superacion",7,1,1
"496","tradicion",7,1,1
"497","usb",7,1,1
"498","ute",7,1,1
"499","vehiculos",7,1,1
"500","votacion",7,1,1
"501","aceptacion",6,1,1
"502","acuatico",6,1,1
"503","acumulacion",6,1,1
"504","administracion",6,1,1
"505","agua caliente",6,2,1
"506","album",6,1,1
"507","alcoholica",6,1,1
"508","amarrillo",6,1,1
"509","atmosfera",6,1,1
"510","atomica",6,1,1
"511","atomo",6,1,1
"512","autobus",6,1,1
"513","buenisimo",6,1,1
"514","burgues",6,1,1
"515","calorias",6,1,1
"516","canelones",6,1,1
"517","CARCEL",6,1,1
"518","categoria",6,1,1
"519","cientificos",6,1,1
"520","clasificacion",6,1,1
"521","coleccion",6,1,1
"522","cuadrupedo",6,1,1
"523","de casa",6,2,1
"524","de pelo",6,2,1
"525","demostracion",6,1,1
"526","descripcion",6,1,1
"527","desición",6,1,0
"528","disfrutable",6,1,1
"529","distincion",6,1,1
"530","DIVERSION",6,1,1
"531","eeuu",6,1,1
"532","elastica",6,1,1
"533","electrodomestico",6,1,1
"534","empatia",6,1,1
"535","en blanco",6,2,1
"536","en ese lugar",6,3,1
"537","ENERGIA",6,1,1
"538","estadistica",6,1,1
"539","estetica",6,1,1
"540","evaluacion",6,1,1
"541","fotosintesis",6,1,1
"542","frustracion",6,1,1
"543","goze",6,1,1
"544","habia",6,1,1
"545","helice",6,1,1
"546","hijo de puta",6,3,1
"547","huesped",6,1,1
"548","idem",6,1,1
"549","imágen",6,1,0
"550","inconciente",6,1,1
"551","instrumento musical",6,2,1
"552","integracion",6,1,1
"553","la vida",6,2,1
"554","loteria",6,1,1
"555","lugubre",6,1,1
"556","MANZANA",6,1,1
"557","mc donalds",6,2,1
"558","minimo",6,1,1
"559","mitologia",6,1,1
"560","morron",6,1,1
"561","multiple",6,1,1
"562","murcielago",6,1,1
"563","Musica",6,1,1
"564","no existe",6,2,1
"565","online",6,1,1
"566","ortografia",6,1,1
"567","paraiso",6,1,1
"568","parrillero",6,1,1
"569","parte del cuerpo",6,3,1
"570","PASION",6,1,1
"571","patron",6,1,1
"572","pelotita",6,1,1
"573","piramide",6,1,1
"574","pocion",6,1,1
"575","por que",6,2,1
"576","preparacion",6,1,1
"577","pulmon",6,1,1
"578","rayos x",6,2,1
"579","relampago",6,1,1
"580","reproduccion",6,1,1
"581","revolucion",6,1,1
"582","romantico",6,1,1
"583","sahara",6,1,1
"584","se puede",6,2,1
"585","simbolico",6,1,1
"586","sin uso",6,2,1
"587","subterraneo",6,1,1
"588","telon",6,1,1
"589","tension",6,1,1
"590","trebol",6,1,1
"591","VACIO",6,1,1
"592","vicera",6,1,1
"593","violin",6,1,1
"594","wisky",6,1,1
"595","8 horas",5,2,1
"596","a lo mejor",5,3,1
"597","a menudo",5,2,1
"598","a salvo",5,2,1
"599","academico",5,1,1
"600","acaros",5,1,1
"601","aceleracion",5,1,1
"602","acusacion",5,1,1
"603","agresion",5,1,1
"604","alchol",5,1,1
"605","alli",5,1,1
"606","ana",5,1,1
"607","artesania",5,1,1
"608","artistico",5,1,1
"609","aspero",5,1,1
"610","astronomia",5,1,1
"611","ATENCION",5,1,1
"612","autoctono",5,1,1
"613","AVION",5,1,1
"614","basquetbol",5,1,1
"615","baul",5,1,1
"616","belico",5,1,1
"617","bic",5,1,1
"618","buzon",5,1,1
"619","cadaver",5,1,1
"620","CAFE",5,1,1
"621","calificacion",5,1,1
"622","carlos",5,1,1
"623","catolica",5,1,1
"624","circulos",5,1,1
"625","comfort",5,1,1
"626","comica",5,1,1
"627","compasion",5,1,1
"628","complicacion",5,1,1
"629","computacion",5,1,1
"630","COMUNICACION",5,1,1
"631","comunion",5,1,1
"632","cos",5,1,1
"633","crater",5,1,1
"634","cutcsa",5,1,1
"635","darwin",5,1,1
"636","de acuerdo",5,2,1
"637","de madera",5,2,1
"638","de repente",5,2,1
"639","de trabajo",5,2,1
"640","de vida",5,2,1
"641","definicion",5,1,1
"642","demas",5,1,1
"643","desicion",5,1,1
"644","dimension",5,1,1
"645","discución",5,1,0
"646","divicion",5,1,1
"647","dni",5,1,1
"648","docil",5,1,1
"649","duracion",5,1,1
"650","elevacion",5,1,1
"651","escorpio",5,1,1
"652","espia",5,1,1
"653","estación de servicio",5,3,0
"654","eva",5,1,1
"655","fé",5,1,0
"656","felíz",5,1,0
"657","fidel",5,1,1
"658","foucault",5,1,1
"659","fraccion",5,1,1
"660","Futbol",5,1,1
"661","gym",5,1,1
"662","humeda",5,1,1
"663","huracan",5,1,1
"664","imposicion",5,1,1
"665","indicacion",5,1,1
"666","informatica",5,1,1
"667","inmoral",5,1,1
"668","insertidumbre",5,1,1
"669","inspeccion",5,1,1
"670","interaccion",5,1,1
"671","interpretacion",5,1,1
"672","intrumento",5,1,1
"673","jose",5,1,1
"674","jupiter",5,1,1
"675","mal humor",5,2,1
"676","mal olor",5,2,1
"677","manifestacion",5,1,1
"678","màs",5,1,0
"679","melon",5,1,1
"680","mi casa",5,2,1
"681","mi madre",5,2,1
"682","monotono",5,1,1
"683","movie",5,1,1
"684","mucha gente",5,2,1
"685","nike",5,1,1
"686","no hay",5,2,1
"687","No hay respuestas MAS",5,4,1
"688","No more responses",5,3,1
"689","ñandu",5,1,0
"690","OIDO",5,1,1
"691","oposicion",5,1,1
"692","opresion",5,1,1
"693","oprtunidad",5,1,1
"694","oscar",5,1,1
"695","oviparo",5,1,1
"696","PAIS",5,1,1
"697","para todos",5,2,1
"698","paris",5,1,1
"699","parte de",5,2,1
"700","particulas",5,1,1
"701","patagonia",5,1,1
"702","peluqueria",5,1,1
"703","POLICIA",5,1,1
"704","porcion",5,1,1
"705","preposicion",5,1,1
"706","privacion",5,1,1
"707","produccion",5,1,1
"708","psiquiatrico",5,1,1
"709","ràpido",5,1,0
"710","regimen",5,1,1
"711","relajacion",5,1,1
"712","repeticion",5,1,1
"713","reposera",5,1,1
"714","rico olor",5,2,1
"715","salmon",5,1,1
"716","salvacion",5,1,1
"717","seduccion",5,1,1
"718","shrek",5,1,1
"719","simpatica",5,1,1
"720","simpsons",5,1,1
"721","sms",5,1,1
"722","sweater",5,1,1
"723","tentaculos",5,1,1
"724","tia",5,1,1
"725","tinelli",5,1,1
"726","torax",5,1,1
"727","utencilio",5,1,1
"728","utencillo",5,1,1
"729","vegetacion",5,1,1
"730","volatil",5,1,1
"731","+",4,1,1
"732","a alguien",4,2,1
"733","abogacia",4,1,1
"734","acida",4,1,1
"735","aereo",4,1,1
"736","AFRICA",4,1,1
"737","aglomeracion",4,1,1
"738","aire puro",4,2,1
"739","aji",4,1,1
"740","al costado",4,2,1
"741","alaja",4,1,1
"742","Alegria",4,1,1
"743","ambicion",4,1,1
"744","anotacion",4,1,1
"745","antel",4,1,1
"746","antonio",4,1,1
"747","apostoles",4,1,1
"748","armazon",4,1,1
"749","asiatico",4,1,1
"750","aspera",4,1,1
"751","atletico",4,1,1
"752","automatico",4,1,1
"753","B",4,1,1
"754","bajon",4,1,1
"755","bandoneon",4,1,1
"756","birodado",4,1,1
"757","blancanieves",4,1,1
"758","boligrafo",4,1,1
"759","bombon",4,1,1
"760","boñato",4,1,0
"761","brujula",4,1,1
"762","buen mozo",4,2,1
"763","buscaglia",4,1,1
"764","calida",4,1,1
"765","camaras",4,1,1
"766","cañon",4,1,0
"767","cardiaco",4,1,1
"768","carpinteria",4,1,1
"769","catastrofe",4,1,1
"770","celulas",4,1,1
"771","chupetin",4,1,1
"772","chusmerio",4,1,1
"773","circulacion",4,1,1
"774","ciudadania",4,1,1
"775","civilizacion",4,1,1
"776","cocacola",4,1,1
"777","cojer",4,1,1
"778","comico",4,1,1
"779","comparacion",4,1,1
"780","compas",4,1,1
"781","compu",4,1,1
"782","comunicaciòn",4,1,0
"783","condicion",4,1,1
"784","condon",4,1,1
"785","coneccion",4,1,1
"786","constitucion",4,1,1
"787","cruz roja",4,2,1
"788","cubicos",4,1,1
"789","cuello largo",4,2,1
"790","cuerpo humano",4,2,1
"791","cumpleaño",4,1,0
"792","de amor",4,2,1
"793","de fuerza",4,2,1
"794","de futbol",4,2,1
"795","de personas",4,2,1
"796","de vino",4,2,1
"797","deciciones",4,1,1
"798","deficit",4,1,1
"799","descanzar",4,1,1
"800","descartable",4,1,1
"801","despreocupacion",4,1,1
"802","difrutar",4,1,1
"803","disposicion",4,1,1
"804","distraido",4,1,1
"805","dolor de cabeza",4,3,1
"806","drácula",4,1,0
"807","e-mail",4,1,1
"808","ecologia",4,1,1
"809","EDUCACION",4,1,1
"810","efimero",4,1,1
"811","el mundo",4,2,1
"812","escalafon",4,1,1
"813","escencia",4,1,1
"814","eslabon",4,1,1
"815","estandar",4,1,1
"816","extasis",4,1,1
"817","falta de libertad",4,3,1
"818","fenomeno",4,1,1
"819","fogon",4,1,1
"820","forma de ser",4,3,1
"821","fotografia",4,1,1
"822","frìo",4,1,0
"823","fruto seco",4,2,1
"824","fuerzas armadas",4,2,1
"825","generacion",4,1,1
"826","gimnacia",4,1,1
"827","gimnacio",4,1,1
"828","graduacion",4,1,1
"829","grafico",4,1,1
"830","gramatica",4,1,1
"831","GRANJA",4,1,1
"832","h2o",4,1,1
"833","halley",4,1,1
"834","halloween",4,1,1
"835","harry",4,1,1
"836","hasta luego",4,2,1
"837","help",4,1,1
"838","hipocrita",4,1,1
"839","holando",4,1,1
"840","hollywood",4,1,1
"841","hormigon",4,1,1
"842","idoneo",4,1,1
"843","imbecil",4,1,1
"844","incandecente",4,1,1
"845","inconciencia",4,1,1
"846","indecision",4,1,1
"847","INFORMACION",4,1,1
"848","infusion",4,1,1
"849","jajajaja",4,1,1
"850","jarron",4,1,1
"851","JESUS",4,1,1
"852","LAPIZ",4,1,1
"853","latex",4,1,1
"854","leido",4,1,1
"855","libelula",4,1,1
"856","lo mejor",4,2,1
"857","lost",4,1,1
"858","ludico",4,1,1
"859","maldicion",4,1,1
"860","mamà",4,1,0
"861","manana",4,1,1
"862","manipulacion",4,1,1
"863","manuelita",4,1,1
"864","Manzana",4,1,1
"865","maraton",4,1,1
"866","MARRON",4,1,1
"867","más tarde",4,2,0
"868","mastil",4,1,1
"869","MATEMATICAS",4,1,1
"870","meditacion",4,1,1
"871","méxico",4,1,0
"872","mickey",4,1,1
"873","millon",4,1,1
"874","minima",4,1,1
"875","miopia",4,1,1
"876","mision",4,1,1
"877","muzarella",4,1,1
"878","muzzarela",4,1,1
"879","nino",4,1,1
"880","nucleo",4,1,1
"881","nuemero",4,1,1
"882","NUMEROS",4,1,1
"883","o nada",4,2,1
"884","observacion",4,1,1
"885","ocasion",4,1,1
"886","OIR",4,1,1
"887","OMNIBUS",4,1,1
"888","optica",4,1,1
"889","órden",4,1,0
"890","otra vez",4,2,1
"891","pablo",4,1,1
"892","parrafo",4,1,1
"893","pasiencia",4,1,1
"894","peaton",4,1,1
"895","percusion",4,1,1
"896","perez",4,1,1
"897","peter",4,1,1
"898","pezca",4,1,1
"899","picazon",4,1,1
"900","plantacion",4,1,1
"901","polici",4,1,1
"902","porton",4,1,1
"903","programacion",4,1,1
"904","projimo",4,1,1
"905","proposito",4,1,1
"906","proteina",4,1,1
"907","psiquiatrica",4,1,1
"908","que?",4,1,1
"909","quiroga",4,1,1
"910","recompenza",4,1,1
"911","redaccion",4,1,1
"912","REIR",4,1,1
"913","remuneracion",4,1,1
"914","renovacion",4,1,1
"915","resfrio",4,1,1
"916","restoran",4,1,1
"917","REUNION",4,1,1
"918","robin hood",4,2,1
"919","rodriguez",4,1,1
"920","saltarin",4,1,1
"921","sanacion",4,1,1
"922","se va",4,2,1
"923","seccion",4,1,1
"924","shakespeare",4,1,1
"925","simetria",4,1,1
"926","simpatia",4,1,1
"927","sistema solar",4,2,1
"928","sobrevivencia",4,1,1
"929","sonrrisa",4,1,1
"930","subordinacion",4,1,1
"931","tabu",4,1,1
"932","tactica",4,1,1
"933","TAL VEZ",4,2,1
"934","tambien",4,1,1
"935","tazmania",4,1,1
"936","TELEFONO",4,1,1
"937","tentaculo",4,1,1
"938","teoria",4,1,1
"939","terminacion",4,1,1
"940","tiburon",4,1,1
"941","tic tac",4,2,1
"942","tiro al blanco",4,3,1
"943","treinta y tres",4,3,1
"944","trsite",4,1,1
"945","tunel",4,1,1
"946","vacìo",4,1,0
"947","Valentía",4,1,0
"948","venezuela",4,1,1
"949","y tres",4,2,1
"950","?",3,1,1
"951","$",3,1,1
"952","18 de julio",3,3,1
"953","a cargo",3,2,1
"954","a favor",3,2,1
"955","a mano",3,2,1
"956","acci",3,1,1
"957","ACCION",3,1,1
"958","aclaracion",3,1,1
"959","adicion",3,1,1
"960","adoquin",3,1,1
"961","aerea",3,1,1
"962","agonia",3,1,1
"963","agrupacion",3,1,1
"964","agua viva",3,2,1
"965","al cielo",3,2,1
"966","aladin",3,1,1
"967","aladino",3,1,1
"968","alaska",3,1,1
"969","alcancia",3,1,1
"970","alegrìa",3,1,0
"971","aleman",3,1,1
"972","algebra",3,1,1
"973","am",3,1,1
"974","ancap",3,1,1
"975","and roll",3,2,1
"976","anelo",3,1,1
"977","angeles",3,1,1
"978","animalito",3,1,1
"979","antiguedades",3,1,1
"980","antitesis",3,1,1
"981","año nuevo",3,2,0
"982","añoso",3,1,0
"983","aplicacion",3,1,1
"984","apple",3,1,1
"985","arabe",3,1,1
"986","aracnido",3,1,1
"987","ariel",3,1,1
"988","aritmetica",3,1,1
"989","aromatico",3,1,1
"990","asecino",3,1,1
"991","atraccion",3,1,1
"992","atrapante",3,1,1
"993","aujero",3,1,1
"994","autorizacion",3,1,1
"995","AZUCAR",3,1,1
"996","BAJON",3,1,1
"997","baldio",3,1,1
"998","bambu",3,1,1
"999","bano",3,1,1
"1000","basquetball",3,1,1
"1001","baterias",3,1,1
"1002","benedetti",3,1,1
"1003","big bang",3,2,1
"1004","bordaberry",3,1,1
"1005","buchon",3,1,1
"1006","buen gusto",3,2,1
"1007","buen humor",3,2,1
"1008","buena onda",3,2,1
"1009","C",3,1,1
"1010","calculos",3,1,1
"1011","CALIDO",3,1,1
"1012","camila",3,1,1
"1013","camiòn",3,1,0
"1014","camison",3,1,1
"1015","CANCION",3,1,1
"1016","cantida",3,1,1
"1017","capáz",3,1,0
"1018","carabana",3,1,1
"1019","Caracter",3,1,1
"1020","carino",3,1,1
"1021","carniboro",3,1,1
"1022","celcius",3,1,1
"1023","celsius",3,1,1
"1024","cerrucho",3,1,1
"1025","champagne",3,1,1
"1026","chanchitos",3,1,1
"1027","changuito",3,1,1
"1028","chetos",3,1,1
"1029","chimpance",3,1,1
"1030","cien años",3,2,0
"1031","CLARIDAD",3,1,1
"1032","clinica",3,1,1
"1033","co",3,1,1
"1034","cobardia",3,1,1
